round,global_accuracy,client0_acc,client1_acc,client2_acc,client3_acc,client4_acc
1,0.7060,0.6820,0.8890,0.6150,0.6850,0.6590
2,0.8334,0.9440,0.8280,0.7130,0.8250,0.8570
3,0.8990,0.9300,0.7760,0.9680,0.8910,0.9300
4,0.9590,0.9810,0.9710,0.9900,0.8710,0.9820
5,0.9672,0.9750,0.9930,0.8820,0.9930,0.9930
6,0.9868,1.0000,0.9990,0.9410,0.9960,0.9980
7,0.9878,0.9820,0.9610,0.9990,1.0000,0.9970
8,0.9942,0.9940,0.9980,1.0000,0.9970,0.9820
9,0.9988,1.0000,1.0000,0.9940,1.0000,1.0000
10,0.9964,0.9850,0.9970,1.0000,1.0000,1.0000
